;correct_spelling;misspellings
369;test;['tets'                 , 'tset'        , 'tste'        , 'ttes'        , 'ttse'        , 'etst'        , 'etts'        , 'estt'        , 'estt'        , 'etts'        , 'etst'        , 'stet'        , 'stte'         , 'sett'   , 'sett' , 'stte', 'stet', 'ttes', 'ttse', 'tets' , 'tste', 'tset'], 
370;rekord;['ekord'              , 'rkord'       , 'reord'       , 'rekrd'       , 'rekod'       , 'rekor']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
371;båd;['bdå'                   , 'åbd'         , 'ådb'         , 'dbå'         , 'dåb']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
372;fælles;['ælles'              , 'flles'       , 'fæles'       , 'fæles'       , 'fælls'       , 'fælle']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
373;guld;['gudl'                 , 'glud'        , 'gldu'        , 'gdul'        , 'gdlu'        , 'ugld'        , 'ugdl'        , 'ulgd'        , 'uldg'        , 'udgl'        , 'udlg'        , 'lgud'        , 'lgdu'         , 'lugd'   , 'ludg' , 'ldgu', 'ldug', 'dgul', 'dglu', 'dugl' , 'dulg', 'dlgu' , 'dlug']
374;mulig;['ulig'                , 'mlig'        , 'muig'        , 'mulg'        , 'muli']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
375;planet;['lanet'              , 'panet'       , 'plnet'       , 'plaet']      ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
376;stedet;['tedet'              , 'sedet'       , 'stdet'       , 'steet'       , 'stedt'       , 'stede']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
377;tør;['trø'                   , 'øtr'         , 'ørt'         , 'rtø'         , 'røt']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
378;spekulerer;['pekulerer'      , 'sekulerer'   , 'spkulerer'   , 'speulerer'   , 'speklerer'   , 'spekuerer'   , 'spekulrer'   , 'spekuleer'   , 'spekulerr'   , 'spekulere']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
379;grine;['rine'                , 'gine'        , 'grne'        , 'grie'        , 'grin']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
380;tusinde;['usinde'            , 'tsinde'      , 'tuinde'      , 'tusnde'      , 'tuside'      , 'tusine'      , 'tusind']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
381;siden;['iden'                , 'sden'        , 'sien'        , 'sidn']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
382;løb;['lbø'                   , 'ølb'         , 'øbl'         , 'blø'         , 'bøl']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
383;tjek;['tjke'                 , 'tejk'        , 'tekj'        , 'tkje'        , 'tkej'        , 'jtek'        , 'jtke'        , 'jetk'        , 'jekt'        , 'jkte'        , 'jket'        , 'etjk'        , 'etkj'         , 'ejtk'   , 'ejkt' , 'ektj', 'ekjt', 'ktje', 'ktej', 'kjte' , 'kjet', 'ketj' , 'kejt']
384;spil;['spli'                 , 'sipl'        , 'silp'        , 'slpi'        , 'psil'        , 'psli'        , 'pisl'        , 'pils'        , 'plsi'        , 'plis'        , 'ispl'        , 'islp'        , 'ipsl'         , 'ipls'   , 'ilsp' , 'ilps', 'lspi', 'lsip', 'lpsi', 'lpis' , 'lisp', 'lips'], 
385;form;['fomr'                 , 'frmo'        , 'fmor'        , 'fmro'        , 'ofrm'        , 'ofmr'        , 'orfm'        , 'ormf'        , 'omfr'        , 'omrf'        , 'rfom'        , 'rfmo'        , 'rofm'         , 'romf'   , 'rmfo' , 'rmof', 'mfor', 'mfro', 'mofr', 'morf' , 'mrfo', 'mrof'], 
386;sidestille;['idestille'      , 'sdestille'   , 'siestille'   , 'sidstille'   , 'sidetille'   , 'sidesille'   , 'sidestlle'   , 'sidestile'   , 'sidestile'   , 'sidestill']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
387;varmt;['armt'                , 'vrmt'        , 'vamt'        , 'vart']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
388;miss;['msis'                 , 'mssi'        , 'msis'        , 'mssi'        , 'imss'        , 'imss'        , 'isms'        , 'issm'        , 'isms'        , 'issm'        , 'smis'        , 'smsi'        , 'sims'         , 'sism'   , 'ssmi' , 'ssim', 'smis', 'smsi', 'sims', 'sism' , 'ssmi', 'ssim'], 
389;bragt;['ragt'                , 'bagt'        , 'brgt'        , 'brat'        , 'brag']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
390;varme;['arme'                , 'vrme'        , 'vame'        , 'vare']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
391;sne;['sen'                   , 'nse'         , 'nes'         , 'esn'         , 'ens']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
392;dæk;['dkæ'                   , 'ædk'         , 'ækd'         , 'kdæ'         , 'kæd']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
393;bringe;['ringe'              , 'binge'       , 'brnge'       , 'brige'       , 'brine']      ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
394;ja;['aj']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
395;fjernt;['jernt'              , 'fernt'       , 'fjrnt'       , 'fjent'       , 'fjert'       , 'fjern']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
396;fylde;['ylde'                , 'flde'        , 'fyde'        , 'fyle'        , 'fyld']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
397;øst;['øts'                   , 'søt'         , 'stø'         , 'tøs'         , 'tsø']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
398;maling;['aling'              , 'mling'       , 'maing'       , 'malng'       , 'malig'       , 'malin']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
399;sprog;['prog'                , 'srog'        , 'spog'        , 'sprg'        , 'spro']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
400;blandt;['landt'              , 'bandt'       , 'blndt'       , 'bladt'       , 'blant'       , 'bland']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
